,states,states,states,states,states,states,costs,costs,costs,costs,costs,costs,costs,costs,control,parameters,parameters,parameters,parameters
,T_room,T_surf_wall,T_op,T_mass,T_surf_floor,T_hp_ret,dev_neg_sum,dev_neg_max,dev_pos_sum,dev_pos_max,P_el,E_el,COP,Qdot_th,T_hp_sup,T_amb,Qdot_gains,Qdot_sol,Qdot_int
2016-06-28 05:30:00,26.52472403628796,25.33306454768029,26.356849263537413,25.06196991766827,28.17741065515662,30.52489486582795,0.0,0.0,0.13973850596747883,0.5623411933765183,889.3342067071329,222.33355167678326,5.1866488,4612.664196016503,35.0,15.8,3010.6343896292015,1800.6343896292015,1210.0
2016-06-28 05:45:00,26.48539419674179,25.298759628590204,26.318193753398408,25.027908073110822,28.130608535121613,30.467144273776153,0.0,0.0,0.1304688059765113,0.52679944808445,902.8731263213658,225.71828158034145,5.1866488,4682.885817186961,35.0,15.8,3010.6343896292015,1800.6343896292015,1210.0
2016-06-28 06:00:00,26.447066991705608,25.264253459991878,26.28035289793584,24.994133650662242,28.086202946157133,30.41696437515239,0.0,0.0,0.12052042404663474,0.4853941967417903,914.3714056353607,228.59285140884018,5.1866488,4742.523353792957,35.0,18.2,5678.216036461023,4746.516036461023,931.7
2016-06-28 06:15:00,26.49192977881103,25.290850532204264,26.31775460160675,25.022988210561635,28.083079483870502,30.37906731056149,0.0,0.0,0.11930538747473068,0.4919297788110306,881.4952006231276,220.3738001557819,5.436584799999999,4792.323408980646,35.0,18.2,5678.216036461023,4746.516036461023,931.7
2016-06-28 06:30:00,26.502211680596172,25.315448685585647,26.330342156636526,25.051026932215184,28.07783930373832,30.35055014274051,0.0,0.0,0.12327057973207041,0.5022116805961723,888.8964677582053,222.22411693955132,5.436584799999999,4832.561025387949,35.0,18.2,5678.216036461023,4746.516036461023,931.7
2016-06-28 06:45:00,26.51279577720418,25.33898578248789,26.34301641483418,25.07818658881627,28.07444032316128,30.329264994773904,0.0,0.0,0.12572388963933298,0.5127957772041789,894.2631749569612,223.5657937392403,5.436584799999999,4861.737584170755,35.0,18.2,5678.216036461023,4746.516036461023,931.7
2016-06-28 07:00:00,26.52399632511498,25.362049122070356,26.356135948523296,25.104746655066762,28.072905886895956,30.31218666762332,0.0,0.0,0.12836507589602694,0.5239963251149788,898.2781168271335,224.56952920678341,5.436584799999999,4883.565156115018,30.31218666762332,20.9,6871.403864161927,5939.703864161927,931.7
2016-06-28 07:15:00,26.58715921071002,25.4399730491084,26.41335521480236,25.17752779685553,27.995250837700812,29.843243011797885,0.0,0.0,0.14447982111429966,0.6002213320433007,6.828545578968477,1.707136394742119,6.372477188471531,43.51475093241474,29.843243011797885,20.9,6871.403864161927,5939.703864161927,931.7
2016-06-28 07:30:00,26.524939878801273,25.486950338293564,26.368280024467182,25.24695482239137,27.808005455566924,29.455093174384583,0.0,0.0,0.14548794797170822,0.5871592107100199,5.771610350039334,1.4429025875098336,6.440279939643827,37.17078635679901,29.455093174384583,20.9,6871.403864161927,5939.703864161927,931.7
2016-06-28 07:45:00,26.457604432953946,25.52523131432063,26.317504424069625,25.312370303379662,27.619410214905802,29.09465621415519,0.0,0.0,0.12974173760591873,0.5249398788012734,5.173481301279459,1.2933703253198647,6.496760319959623,33.61086803420547,29.09465621415519,20.9,6871.403864161927,5939.703864161927,931.7
