Time,Residualload2023,Residualload2033,Residualload2030
28648800,57835.06677,49440.39726,54.453
28649700,57612.0946,49124.72421,54.199
28650600,57446.712,48866.64071,53.945
28651500,57345.99329,48673.22112,53.691
28652400,57317.2339,48551.76085,53.437
28653300,58162.93777,49318.12109,57.65725
28654200,59085.13295,50160.97265,61.8775
28655100,60081.27711,51077.77319,66.09775
28656000,61148.8279,52065.98035,70.318
28656900,61102.37844,51813.5834,70.92875
28657800,61053.93933,51559.1968,71.5395
28658700,60932.43554,51231.74551,72.15025
28659600,60667.01311,50760.3756,72.761
28660500,60159.66612,50020.5204,72.4045
28661400,59478.22402,49106.57009,72.048
28662300,58663.36426,48059.20213,71.6915
28663200,57755.98538,46919.31505,71.335
28664100,57035.01184,46097.29283,70.96325
28665000,56223.17723,45184.40955,70.5915
28665900,55281.13053,44141.31417,70.21975
28666800,54169.74178,42928.87675,69.848
28667700,52881.29663,41543.31736,68.66925
28668600,51442.07959,40006.98607,67.4905
28669500,49909.79074,38377.58297,66.31175
28670400,48342.13019,36712.80817,65.133
28671300,46698.81694,34945.95945,64.01775
28672200,45115.41453,33239.02156,62.9025
28673100,43629.06323,31629.13478,61.78725
28674000,42277.34549,30153.88156,60.672
28674900,40959.00734,28669.70434,59.774
28675800,39704.22774,27249.08566,58.876
28676700,38404.68081,25783.69966,57.978
28677600,36951.81965,24164.99942,57.08
28678500,35548.5532,22696.47637,55.4835
28679400,33967.76499,21050.43156,53.887
28680300,32293.46283,19310.8728,52.2905
28681200,30609.65453,17561.8079,50.694
28682100,28437.70107,14985.36877,49.384
28683000,26378.49493,12521.67696,48.074
28683900,24469.95014,10208.64651,46.764
28684800,22750.42291,8084.633611,45.454
28685700,21270.66664,6180.60263,44.9835
28686600,19971.85876,4457.520032,44.513
28687500,18807.79496,2869.181527,44.0425
28688400,17732.27097,1369.382823,43.572
28689300,17075.08193,472.9875165,43.175
28690200,16464.20773,-377.0929623,42.778
28691100,15903.51713,-1176.989833,42.381
28692000,15396.65784,-1923.055389,41.984
28692900,15187.18348,-2187.010819,41.82025
28693800,15050.99487,-2377.680496,41.6565
28694700,15003.34607,-2479.810371,41.49275
28695600,15059.71218,-2477.925324,41.329
28696500,15400.56903,-2110.583364,41.5135
28697400,15825.10207,-1659.565213,41.698
28698300,16297.49746,-1160.684721,41.8825
28699200,16781.94132,-649.7557426,42.067
28700100,17393.9656,80.36990432,42.8395
28701000,18131.22782,935.7334978,43.612
28701900,19142.73129,2065.338349,44.3845
28702800,20577.25827,3617.966697,45.157
28703700,21963.89928,4769.175756,47.34425
28704600,23767.48428,6337.328799,49.5315
28705500,25833.04097,8167.45354,51.71875
28706400,28005.37601,10104.35662,53.906
28707300,29891.2261,11575.75963,55.61
28708200,31603.75483,12873.84129,57.314
28709100,33017.94533,13873.58471,59.018
28710000,34008.78072,14449.97303,60.722
28710900,34577.55295,14766.81731,60.58875
28711800,34704.73154,14642.06794,60.4555
28712700,34497.20536,14182.61381,60.32225
28713600,34061.64221,13495.12271,60.189
28714500,33474.97553,12700.27056,59.44875
28715400,32829.50339,11846.61295,58.7085
28716300,32187.90003,10996.82412,57.96825
28717200,31612.39754,10213.13617,57.228
28718100,30766.04922,9159.975766,55.20425
28719000,30019.51542,8206.629897,53.1805
28719900,29344.16719,7324.469587,51.15675
28720800,28711.15447,6484.644788,49.133
28721700,28899.39419,6661.286306,48.15425
28722600,29056.131,6806.424898,47.1755
28723500,29136.26595,6874.961639,46.19675
28724400,29094.70012,6821.797605,45.218
28725300,28912.02795,6616.890385,44.6665
28726200,28628.43589,6311.063266,44.115
28727100,28309.91426,5970.306587,43.5635
28728000,28022.23234,5660.389615,43.012
28728900,28149.7978,5860.897351,42.9455
28729800,28327.43634,6111.478158,42.879
28730700,28508.28044,6365.264526,42.8125
28731600,28645.68366,6575.610017,42.746
28732500,29782.07635,8093.392542,42.824
28733400,30874.8071,9567.513117,42.902
28734300,31970.7434,11044.83925,42.98
28735200,33116.31063,12571.79631,43.058
28736100,34150.07141,13937.90843,42.50825
28737000,35257.22849,15377.41684,41.9585
28737900,36414.45863,16866.99832,41.40875
28738800,37598.6597,18383.55073,40.859
28739700,38864.96703,19948.86693,43.211
28740600,40170.84646,21553.75523,45.563
28741500,41552.11183,23234.02947,47.915
28742400,43044.35594,25025.28245,50.267
28743300,44137.51391,26338.83803,50.31925
28744200,45261.06945,27682.79117,50.3715
28745100,46298.29592,28940.41524,50.42375
28746000,47132.90883,29995.42576,50.476
28746900,47694.56458,30791.39151,49.28625
28747800,48016.46649,31347.60342,48.0965
28748700,48178.09035,31743.53729,46.90675
28749600,48259.13305,32058.88999,45.717
28750500,48368.25942,32421.3304,44.8995
28751400,48434.60813,32740.99314,44.082
28752300,48416.5069,32976.20594,43.2645
28753200,48272.5045,33085.51757,42.447
28754100,47528.91229,32442.09247,40.7895
28755000,46671.13579,31684.48309,39.132
28755900,45752.56418,30866.07858,37.4745
28756800,44826.58661,30040.26813,35.817
28757700,44178.59052,29628.69353,33.8795
28758600,43598.2428,29284.76731,31.942
28759500,43107.31919,29030.26519,30.0045
28760400,42727.3743,28886.7418,28.067
28761300,42723.68283,29300.07307,26.9555
28762200,42756.80004,29750.21302,25.844
28763100,42730.33803,30140.77375,24.7325
28764000,42548.57213,30376.03058,23.621
28764900,41823.77415,29868.06416,21.76425
28765800,40939.91403,29201.03559,19.9075
28766700,39989.51089,28467.46401,18.05075
28767600,39065.08384,27759.86852,16.194
28768500,38175.38589,27046.76244,15.0185
28769400,37415.45788,26463.4263,13.843
28770300,36796.13241,26020.69269,12.6675
28771200,36328.90527,25730.05742,11.492
28772100,36082.53127,25706.9076,11.2485
28773000,35966.92204,25814.52256,11.005
28773900,35949.35877,26020.18347,10.7615
28774800,35997.56476,26291.61364,10.518
28775700,36234.08363,26849.66839,10.991
28776600,36527.4183,27464.53895,11.464
28777500,36901.11307,28159.7696,11.937
28778400,37378.93329,28959.12572,12.41
28779300,37940.38158,29890.9841,13.0205
28780200,38604.51835,30925.53097,13.631
28781100,39346.03073,32037.45344,14.2415
28782000,40140.04798,33201.88079,14.852
28782900,40999.36975,34430.35317,16.14575
28783800,41888.97853,35689.11258,17.4395
28784700,42811.41668,36980.70135,18.73325
28785600,43769.66869,38308.10397,20.027
28786500,44546.91195,39235.09453,22.2565
28787400,45488.63364,40326.56353,24.486
28788300,46720.95601,41708.6332,26.7155
28789200,48369.78022,43507.20471,28.945
28790100,50357.39869,45585.46856,32.27675
28791000,52733.66379,48052.37903,35.6085
28791900,55345.04019,50754.40081,38.94025
28792800,58037.55044,53537.55644,42.272
28793700,60724.88242,56351.30843,44.9575
28794600,63229.93958,58982.7856,47.643
28795500,65442.73801,61322.00405,50.3285
28796400,67253.5149,63259.20096,53.014
28797300,68733.53861,64993.48069,53.78675
